"LANGUAGE","简体中文"
"TFC_NAM","Transfer Controller"
"TFC_DESC","允许控制货物运输与服务车辆覆盖范围。"
"TFC_TAB_VEH","载具"
"TFC_RES_PLD","优先本地区域"
"TFC_RES_PLD_TIP","如果选中此项，将优先考虑与该建筑物相同的地区和/或公园区域内的服务地点。"
"TFC_RES_ENA","启用本地限制"
"TFC_RES_ENA_TIP","如果选中此项，将仅限于服务下面列出的地区和/或建筑物(以及任何允许的外部连接)。"
"TFC_DIS_AVA","可用区域"
"TFC_DIS_SEL","允许的区域"
"TFC_DIS_ADD","将此区域添加到受支持的区域列表"
"TFC_DIS_SUB","从受支持的区域列表中删除此区域"
"TFC_BUI_SEL","允许的建筑"
"TFC_BUI_ADD","使用光标选择建筑物添加到允许建筑列表"
"TFC_BUI_SUB","从允许的建筑列表中删除此建筑"
"TFC_VEH_AVA","可用载具"
"TFC_VEH_SEL","允许的载具"
"TFC_VEH_ADD","将此载具添加到允许的载具列表"
"TFC_VEH_SUB","将此载具从允许的载具列表中移除"
"TFC_VEH_ANY","任何"
"TFC_GEN_BUY","货物输入"
"TFC_GEN_SEL","货物输出"
"TFC_GEN_SER","服务区域"
"TFC_BLD_SDO","总是为同一区域服务"
"TFC_BLD_SDO_TIP","启用以确保建筑物总是能够为它所在的同一区域或地区服务，即便该区域或地区稍后变动。"
"TFC_BLD_IMP","允许进口"
"TFC_BLD_IMP_TIP","允许此建筑物从外部连接进口。不受区域或建筑限制的影响。"
"TFC_BLD_EXP","允许出口"
"TFC_BLD_EXP_TIP","允许此建筑物从外部连接出口。不受区域或建筑限制的影响。"
"TFC_BLD_NOD","无本地区域"
"TFC_FIR_SER","消防"
"TFC_DIS_TRU","救援载具"
"TFC_DIS_HEL","救援直升机"
"TFC_POL_PMO","监狱囚犯"
"TFC_POL_PMI","囚犯输入"
"TFC_POL_PHO","监狱直升机"
"TFC_POL_PHI","囚犯运输"
"TFC_POL_PTO","囚犯的转移"
"TFC_MAI_IML","邮件集中点"
"TFC_MAI_OUN","未分拣邮件输出"
"TFC_MAI_IST","分拣邮件输入"
"TFC_MAI_IUN","未分拣邮件输入"
"TFC_MAI_OST","分拣邮件输出"
"TFC_MAI_OGM","外发邮件"
"TFC_MAI_ICM","寄存邮件"
"TFC_GAR_ICO","垃圾回收"
"TFC_GAR_ITF","垃圾输入"
"TFC_GAR_OTF","垃圾输出"
"TFC_GAR_ORR","回收资源以供售出"
"TFC_FIS_MKO","渔业运输链"
"TFC_FIS_MKI","鱼产品输入"
"TFC_FIS_CFO","货物输出"
"TFC_PWR_INC","购买燃油"
"TFC_OIL_INC","石油供应"
"TFC_SHT_INC","购买货物"
"TFC_WAR_RVU","为独特工厂预留载具"
"TFC_WAR_RVU_TIP","启用该项以将该建筑物的一部分送货载具仅供服务于独特工厂"
"TFC_WAR_RVO","为外部输出预留载具"
"TFC_WAR_RVO_TIP","启用该项以将该建筑物的一部分送货载具仅供服务于外部连接(进口与出口)"
"TFC_WAR_RVI","供城市运输的备用载具"
"TFC_WAR_RVI_TIP","启用该项以将该建筑物的一部分送货载具仅供服务于本城市送货(不供进出口)"
"TFC_WAR_RVC","预留载具"
"TFC_WAR_RVC_TIP","设定预留载具数量"
"TFC_OPT_NEW","使用新的距离匹配算法。"
"TFC_OPT_NEW_TIP","如果选中此项，模组将使用自定义算法来根据距离更好地匹配运输。"
"TFC_OPT_DIS","距离倍乘因子"
"TFC_OPT_DIS_TIP","使用该项以调整匹配算法试图找到一个物理线路距离匹配。 100% (默认) 和游戏默认一致； 较低的值将意味着游戏以牺牲性能为代价，花费更多的时间和精力来寻找匹配的距离最短。"
"TFC_OPT_WAR","提高仓库优先级"
"TFC_OPT_WAR_TIP","使用该项以鼓励算法更优先地处理进出仓库的转让（相对于同类货物的其他可用选项）。 0 (没有仓库优先级) 是默认值, 因为它的行为与默认游戏相同; 4 给予仓储传输非常高的优先级。"
"TFC_OPT_ORP","提高铁路外部连接优先级"
"TFC_OPT_ORP_TIP","使用该项以鼓励算法更优先地处理铁路的对外连接（相对于同类货物的其他可用选项）。 0 (没有优先级) 是默认值, 因为它的行为与默认游戏相同; 4 给予铁路对外连接非常高的优先级。"
"TFC_OPT_OSP","提高外部航运连接优先级"
"TFC_OPT_OSP_TIP","使用该项以鼓励算法更优先地处理航运的对外连接（相对于同类货物的其他可用选项）。 0 (没有优先级) 是默认值, 因为它的行为与默认游戏相同; 4 给予航运对外连接非常高的优先级。"
"TFC_OPT_PAT","屏蔽最近路径失败的信息"
"TFC_OPT_PAT_TIP","如果在过去5分钟内两个建筑物之间有车辆路径故障，则阻止报价匹配。"
"TFC_OFF_TIT","流水信息"
"TFC_OFF_LOG","控制转移日志"
"TFC_LOG_MAT","原因"
"TFC_LOG_PRI","优先级"
"TFC_LOG_TAR","目标"
"TFC_LOG_BLK","禁止"
"TFC_LOG_BLK_TIP","显示因启用限制而被屏蔽的匹配"
"TFC_LOG_PFL","路径失败"
"TFC_LOG_PFL_TIP","显示因寻径失败而被屏蔽的匹配"
"TFC_LOG_NOV","无载具"
"TFC_LOG_NOV_TIP","显示因启用载具限制且无可用载具而被屏蔽的匹配"
"TFC_LOG_ELI","符合"
"TFC_LOG_ELI_TIP","显示被视为合格的匹配项 (但可能因为有更接近的选项而未被选定进行传输)"
"TFC_LOG_SEL","已选择"
"TFC_LOG_SEL_TIP","显示选中的转移匹配(在生成路径前)"
"TFC_LOG_INC","运输输入"
"TFC_LOG_INC_TIP","显示输入匹配"
"TFC_LOG_OUT","运输输出"
"TFC_LOG_OUT_TIP","显示输出匹配"
"TFC_LOG_STA","结果"
"TFC_STA_TIT","建筑状态"
"TFC_STA_TIG","输入载具"
"TFC_STA_TIO","输出载具"
"TFC_STA_RET","返回中"
"TFC_STA_VEH","载具"
"TFC_STA_ORG","来源"
"TFC_STA_MAT","货物"
"TFC_STA_AMT","装载"
"TFC_STA_ZTB","缩放至建筑"
"TFC_STA_ZTV","缩放至载具"
"TFC_BST_TIT","加载统计"
"TFC_BST_MAI","邮件"
"TFC_BST_GAR","垃圾"
"TFC_BST_CRI","罪犯"
"TFC_BST_FIR","火灾"
"TFC_BST_SIC","生病"
"TFC_BST_DEA","死亡"
"TRN_CHOICE","语言设定"
"TRN_SYS","使用游戏默认语言"
"KEY_KEY","热键"
"KEY_PRS","请按任意键"
"TFC_ERR_FAT","这表明模组无法运行"," and has shut down."
"TFC_ERR_HAR","Transfer Controller无法请求其所需的前置模组补丁。"
"MES_CLS","关闭"
"ERR_HAR0","Harmony前置模组调用补丁失败"
"ERR_HAR1","造成该问题的原因可能是："
"ERR_HAR2","前置模组Harmony 2 mod dependency并未订阅或未启用"
"ERR_HAR3","存在一个旧版/损坏模组导致Harmony 2无法正常运行"
"ERR_CON0","检测到模组冲突！"
"ERR_CON1","冲突模组是："
"TFC_ERR_CON0","Transfer Controller检测到至少存在一个冲突模组"
"TFC_ERR_CON1","在Transfer Controller正常工作前必须移除这些模组"
